antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len
"85131D, 21992",DOT,0.010398481973434535,0.051233396584440226,0.010398481973434535,1.0,19.51851851851852,1.0,0.009865732422613412,inf,0.9587360024543641,0.20296296296296298,1.0,0.6014814814814815,2,1
"85131D, 21993",DOT,0.010094876660341557,0.051233396584440226,0.010094876660341557,1.0,19.51851851851852,1.0,0.009577681840931268,inf,0.9584419567550989,0.19703703703703707,1.0,0.5985185185185186,2,1
"84032A, 22697",DOT,0.01062618595825427,0.051233396584440226,0.01062618595825427,1.0,19.51851851851852,1.0,0.010081770358875019,inf,0.9589566551591868,0.2074074074074074,1.0,0.6037037037037037,2,1
"85131D, 85099B",DOT,0.010094876660341557,0.051233396584440226,0.010094876660341557,1.0,19.51851851851852,1.0,0.009577681840931268,inf,0.9584419567550989,0.19703703703703707,1.0,0.5985185185185186,2,1
"22961, 84032A, 21935",DOT,0.01032258064516129,0.051233396584440226,0.01032258064516129,1.0,19.51851851851852,1.0,0.009793719777192875,inf,0.9586624741161133,0.20148148148148148,1.0,0.6007407407407408,3,1
"84032A, 21935",DOT,0.013055028462998103,0.051233396584440226,0.012979127134724858,0.9941860465116279,19.405038759689923,1.0,0.01231027368405892,163.187855787476,0.9610130455724791,0.2529585798816568,0.9938720930232559,0.6237596899224807,2,1
85131B,DOT,0.012903225806451613,0.051233396584440226,0.012827324478178368,0.9941176470588236,19.403703703703705,1.0,0.012166248393217848,161.29032258064572,0.9608616622191283,0.25,0.9938,0.622244008714597,1,1
"22921, 22916, 22919, 22920, 22917",22918,0.011764705882352941,0.017685009487666034,0.011688804554079696,0.9935483870967742,56.18025751072961,1.0,0.011480745618930683,152.2588235294114,0.9938930117501545,0.6581196581196581,0.9934322361304281,0.8272462965526789,5,1
"21934, 21494",DOT,0.010702087286527514,0.051233396584440226,0.01062618595825427,0.9929078014184397,19.380089309167325,1.0,0.01007788167602231,133.77609108159373,0.9586603169731911,0.20710059171597633,0.9925248226950355,0.6001576044129235,2,1
"85131D, 85131B",DOT,0.01032258064516129,0.051233396584440226,0.010246679316888045,0.9926470588235293,19.375,1.0,0.00971781844891963,129.03225806451462,0.9582790091264668,0.1997041420118343,0.99225,0.5963235294117647,2,1
"21934, 21494, 21935",DOT,0.01032258064516129,0.051233396584440226,0.010246679316888045,0.9926470588235293,19.375,1.0,0.00971781844891963,129.03225806451462,0.9582790091264668,0.1997041420118343,0.99225,0.5963235294117647,3,1
"21731, 22961, 21935",DOT,0.0101707779886148,0.051233396584440226,0.010094876660341557,0.9925373134328359,19.372857932559427,1.0,0.00957379315807856,127.13472485768654,0.9581262795820931,0.19674556213017752,0.992134328358209,0.5947871752349365,3,1
"22961, 22379, 21935",DOT,0.0101707779886148,0.051233396584440226,0.010094876660341557,0.9925373134328359,19.372857932559427,1.0,0.00957379315807856,127.13472485768654,0.9581262795820931,0.19674556213017752,0.992134328358209,0.5947871752349365,3,1
"85099B, 21935, 22697",DOT,0.0101707779886148,0.051233396584440226,0.010094876660341557,0.9925373134328359,19.372857932559427,1.0,0.00957379315807856,127.13472485768654,0.9581262795820931,0.19674556213017752,0.992134328358209,0.5947871752349365,3,1
"22916, 22921, 22919, 22917",22918,0.012751423149905123,0.017685009487666034,0.012599620493358634,0.9880952380952381,55.871908849376666,1.0,0.012374111453971317,82.51445920303634,0.9947868663861257,0.7063829787234044,0.9878809119073375,0.8502707950132844,4,1
"22921, 22920, 22917, 22918",22916,0.012447817836812144,0.0174573055028463,0.012296015180265655,0.9878048780487806,56.58404029692472,1.0,0.012078709821444647,80.56850094876727,0.9947091302610992,0.6982758620689655,0.987588201490358,0.8460763520678686,4,1
"22916, 22921, 22919, 22920",22918,0.011992409867172675,0.017685009487666034,0.011840607210626186,0.9873417721518988,55.82930406910415,1.0,0.011628521328345258,77.60288425047465,0.9940088208122317,0.6638297872340425,0.9871138810153969,0.8284348345738035,4,1
"22919, 22921, 22917, 22920",22918,0.011992409867172675,0.017685009487666034,0.011840607210626186,0.9873417721518988,55.82930406910415,1.0,0.011628521328345258,77.60288425047465,0.9940088208122317,0.6638297872340425,0.9871138810153969,0.8284348345738035,4,1
"22961, 85099B, 21935",DOT,0.011992409867172675,0.051233396584440226,0.011840607210626186,0.9873417721518988,19.27144866385373,1.0,0.011226195319898175,74.95256166982948,0.9596178961240035,0.2304283604135894,0.9866582278481013,0.609226441631505,3,1
"22921, 22918, 22919, 22920, 22917",22916,0.011840607210626186,0.0174573055028463,0.011688804554079696,0.9871794871794871,56.54821627647715,1.0,0.01148209945666459,76.63833017077759,0.9940865647909201,0.6637931034482758,0.9869516990026839,0.8283723522853957,5,1
"22921, 22918, 22916, 22920, 22919",22917,0.011840607210626186,0.017836812144212524,0.011688804554079696,0.9871794871794871,55.34506273867976,1.0,0.011477605867590349,76.60872865275103,0.993697523000849,0.6497890295358649,0.9869466571553124,0.8212493180578286,5,1
"22961, 21934, 21935",DOT,0.011688804554079696,0.051233396584440226,0.011537001897533207,0.9870129870129871,19.26503126503127,1.0,0.010938144738216032,73.0550284629987,0.9593056156249622,0.22451994091580502,0.9863116883116885,0.6060990860990861,3,1
"22961, 21935, 22697",DOT,0.011157495256166983,0.051233396584440226,0.011005692599620493,0.9863945578231292,19.252960443436635,1.0,0.01043405622027228,69.73434535104356,0.9587572655183001,0.2141802067946824,0.9856598639455783,0.600604686318972,3,1
"21935, 22178",DOT,0.01077798861480076,0.051233396584440226,0.01062618595825427,0.9859154929577464,19.243609806990086,1.0,0.0100739929931696,67.3624288425043,0.9583639333121418,0.206794682422452,0.9851549295774646,0.5966614501825769,2,1
"22961, 21935, 22666",DOT,0.010550284629981024,0.051233396584440226,0.010398481973434535,0.985611510791367,19.23767652544631,1.0,0.009857955056907994,65.93927893738181,0.9581271851335884,0.20236336779911374,0.9848345323741008,0.594287236877165,3,1
"21931, 20712, 21935",DOT,0.01047438330170778,0.051233396584440226,0.01032258064516129,0.9855072463768115,19.23564143853999,1.0,0.009785942411487458,65.46489563567333,0.9580481344950346,0.20088626292466766,0.9847246376811594,0.5934943639291466,3,1
"22961, 22197, 21935",DOT,0.010246679316888045,0.051233396584440226,0.010094876660341557,0.9851851851851853,19.229355281207134,1.0,0.00956990447522585,64.04174573055067,0.9578105539923429,0.19645494830132942,0.9843851851851853,0.5911111111111111,3,1
"22919, 22921, 22917",22918,0.013206831119544592,0.017685009487666034,0.012979127134724858,0.9827586206896552,55.570149474618916,1.0,0.012745564201073709,56.97426944971562,0.9951474717869205,0.7245762711864406,0.9824482172451096,0.8583321000443984,3,1
"22919, 22921, 22916",22918,0.013055028462998103,0.017685009487666034,0.012827324478178368,0.9825581395348837,55.558813254815846,1.0,0.012596446175948496,56.319392789373715,0.9949906871741477,0.7161016949152542,0.9822441267479596,0.8539400139734504,3,1
"21494, 21935",DOT,0.013055028462998103,0.051233396584440226,0.012827324478178368,0.9825581395348837,19.17807924203273,1.0,0.01215847102751243,54.39595192915866,0.9603951204706059,0.24926253687315633,0.9816162790697675,0.616464254952627,2,1
"22916, 22921, 22919, 22918",22917,0.012827324478178368,0.017836812144212524,0.012599620493358634,0.9822485207100592,55.06861387385119,1.0,0.012370821916328507,55.328526249209425,0.9945988783675374,0.6974789915966387,0.9819261406765866,0.8443157497167317,4,1
"22961, 21934",DOT,0.012827324478178368,0.051233396584440226,0.012599620493358634,0.9822485207100592,19.17203594126671,1.0,0.011942433091250823,53.44718532574326,0.9601569433199505,0.24483775811209443,0.9812899408284024,0.6140872233179926,2,1
"22920, 22921, 22917",22916,0.012751423149905123,0.0174573055028463,0.012523719165085389,0.9821428571428572,56.259704968944106,1.0,0.012301113675561429,55.0223908918408,0.9949118306925641,0.7081545064377683,0.9818255807537384,0.8497670807453417,3,1
"22916, 22921, 22917, 22920",22918,0.012523719165085389,0.017685009487666034,0.012296015180265655,0.9818181818181819,55.516972298088184,1.0,0.012074533088010255,54.02732447817868,0.9944415976314517,0.6864406779661016,0.981490847276661,0.8385485758876318,4,1
"22916, 22921, 22920, 22918",22917,0.012523719165085389,0.017836812144212524,0.012296015180265655,0.9818181818181819,55.04448742746615,1.0,0.012072631954171154,54.01897533206862,0.9942850229168447,0.6806722689075629,0.9814879865111705,0.8355899419729207,4,1
"22919, 22921, 22917, 22920",22916,0.011992409867172675,0.0174573055028463,0.011764705882352941,0.9810126582278481,56.19496422674739,1.0,0.01155535071958636,51.74724857685012,0.9941267870551413,0.6652360515021459,0.9806753010546079,0.8274628508530545,4,1
"22916, 22921, 22919, 22920",22917,0.011992409867172675,0.017836812144212524,0.011764705882352941,0.9810126582278481,54.999326690008076,1.0,0.01155079952039578,51.7272612270715,0.993735239525484,0.6512605042016806,0.9806678340148299,0.8202935631564772,4,1
"21993, 22697",DOT,0.011992409867172675,0.051233396584440226,0.011764705882352941,0.9810126582278481,19.147913736521332,1.0,0.01115029399162493,49.968374446552836,0.9592790569156464,0.22861356932153395,0.9799873417721519,0.6053211439287389,2,1
85131D,DOT,0.01555977229601518,0.051233396584440226,0.015256166982922202,0.9804878048780488,19.13766937669377,1.0,0.01445898699811687,48.624288425047396,0.9627268438071784,0.29602356406480124,0.9794341463414634,0.6391327913279132,1,1
"85099B, 22197, 21935",DOT,0.011081593927893738,0.051233396584440226,0.010853889943074005,0.9794520547945206,19.117453069507864,1.0,0.0102861422465785,46.17330803289064,0.9583113946457259,0.21091445427728614,0.9783424657534247,0.5956519533231862,3,1
"22961, 21494",DOT,0.010702087286527514,0.051233396584440226,0.01047438330170778,0.9787234042553192,19.103230890464935,1.0,0.009926079019475821,44.592030360531474,0.9579044105383246,0.20353982300884957,0.9775744680851065,0.5915839243498818,2,1
"21993, 21934",DOT,0.01062618595825427,0.051233396584440226,0.010398481973434535,0.9785714285714286,19.10026455026455,1.0,0.009854066374055285,44.27577482605961,0.9578227064136702,0.20206489675516226,0.9774142857142858,0.5907671957671958,2,1
"21731, 85099B, 21935",DOT,0.01062618595825427,0.051233396584440226,0.010398481973434535,0.9785714285714286,19.10026455026455,1.0,0.009854066374055285,44.27577482605961,0.9578227064136702,0.20206489675516226,0.9774142857142858,0.5907671957671958,3,1
"21731, 85099B, 22697",DOT,0.010550284629981024,0.051233396584440226,0.01032258064516129,0.9784172661870504,19.097255528910207,1.0,0.009782053728634749,43.95951929158765,0.95774089399491,0.20058997050147492,0.9772517985611511,0.5899493738342659,3,1
"22916, 22921, 22917",22918,0.013586337760910816,0.017685009487666034,0.013282732447817837,0.9776536312849162,55.28148752008056,1.0,0.013042457935613493,43.95859582542699,0.9954350789253835,0.7383966244725738,0.9772513206752257,0.8643632963291534,3,1
"22916, 22921, 22918",22917,0.013586337760910816,0.017836812144212524,0.013282732447817837,0.9776536312849162,54.81100677522881,1.0,0.01304039549344865,43.95180265654653,0.9952776678538451,0.7322175732217573,0.9772478046506006,0.8611672411743729,3,1
"22919, 22921, 22916",22917,0.013055028462998103,0.017836812144212524,0.012751423149905123,0.9767441860465115,54.76001979218208,1.0,0.012518563059673278,42.233017077798586,0.9947246606094564,0.7029288702928869,0.976321843211962,0.8458189015338939,3,1
"22916, 22919, 22920, 22918",22917,0.013055028462998103,0.017836812144212524,0.012751423149905123,0.9767441860465115,54.76001979218208,1.0,0.012518563059673278,42.233017077798586,0.9947246606094564,0.7029288702928869,0.976321843211962,0.8458189015338939,4,1
"22916, 22920, 22921",22918,0.012827324478178368,0.017685009487666034,0.012523719165085389,0.9763313609467456,55.206719658684,1.0,0.012296867809987434,41.50280834914609,0.9946448958289648,0.6962025316455697,0.9759052449755349,0.8422429336922569,3,1
"22916, 22920, 22921",22917,0.012827324478178368,0.017836812144212524,0.012523719165085389,0.9763313609467456,54.7368752360569,1.0,0.012294920588055262,41.496394686907,0.9944873927651107,0.690376569037657,0.9759015209021153,0.8392295102606069,3,1
"22920, 22921, 22917",22918,0.012751423149905123,0.017685009487666034,0.012447817836812144,0.9761904761904762,55.19875332107092,1.0,0.012222308797424827,41.25722960151798,0.9945657779019551,0.6919831223628693,0.975761823814675,0.8400265685673411,3,1
"22919, 22920, 22921",22918,0.012599620493358634,0.017685009487666034,0.012296015180265655,0.9759036144578314,55.182532705931024,1.0,0.012073190772299616,40.766072106261916,0.9944074804812243,0.6835443037974683,0.9754697975955747,0.8355912922074564,3,1
"23172, 23170, 22697",23171,0.012296015180265655,0.026869070208728654,0.011992409867172675,0.9753086419753085,36.298563158261835,1.0,0.011662027372006523,39.411802656546314,0.9845568258421228,0.44134078212290495,0.9746268901041019,0.7108181627955639,3,1
"22919, 22921, 22917, 22920","22916, 22918",0.011992409867172675,0.015787476280834916,0.011688804554079696,0.9746835443037974,61.73776777020447,1.0,0.011499474667751657,38.876394686906984,0.9957438275022972,0.7264150943396226,0.9742774501582888,0.8575340798442064,4,2
"22916, 22921, 22919, 22920","22917, 22918",0.011992409867172675,0.016015180265654648,0.011688804554079696,0.9746835443037974,60.8599796028556,1.0,0.01149674394823731,38.867400379506606,0.995507373474647,0.7162790697674418,0.974271497701522,0.8522706821045054,4,2
"84946, 21935",DOT,0.011461100569259962,0.051233396584440226,0.011157495256166983,0.9735099337748344,19.001471670345843,1.0,0.010570304145407935,35.81593927893735,0.9583563154991728,0.21649484536082472,0.9720794701986755,0.5956438557763061,2,1
"22699, 23172, 23170, 22697",23171,0.011309297912713472,0.026869070208728654,0.011005692599620493,0.9731543624161074,36.21838622833959,1.0,0.010701822279992366,36.24912713472491,0.9835125504958254,0.40502793296089384,0.9724131288380169,0.6913794410950593,4,1
"22919, 22920, 22916",22917,0.013814041745730551,0.017836812144212524,0.013434535104364327,0.9725274725274725,54.52361468318915,1.0,0.013188136636793421,35.75074003795065,0.9954099578173558,0.7374999999999999,0.9720285510470982,0.8628594809445873,3,1
"22921, 22917, 22918",22916,0.01366223908918406,0.0174573055028463,0.013282732447817837,0.9722222222222222,55.69142512077295,1.0,0.013044226566185022,35.371537001897515,0.9956466772934645,0.7446808510638298,0.9717286811724819,0.8665458937198067,3,1
"22697, 23172, 22698, 23170",23171,0.010929791271347248,0.026869070208728654,0.01062618595825427,0.9722222222222222,36.18369428750785,1.0,0.01033251262921769,35.03271347248575,0.9831084118092024,0.3910614525139665,0.9714552513671147,0.6838512241054614,4,1
"85099B, 20712, 21935",DOT,0.010929791271347248,0.051233396584440226,0.01062618595825427,0.9722222222222222,18.976337448559672,1.0,0.010066215627464183,34.15559772296014,0.9577710295230057,0.20618556701030927,0.9707222222222222,0.5898148148148148,3,1
"84032A, 21934",DOT,0.01077798861480076,0.051233396584440226,0.01047438330170778,0.971830985915493,18.96870109546166,1.0,0.009922190336623112,33.68121442125241,0.9576026074279672,0.20324005891016203,0.9703098591549296,0.5881377151799687,2,1
"85099B, 21935, 22666",DOT,0.010550284629981024,0.051233396584440226,0.010246679316888045,0.9712230215827339,18.956834532374103,1.0,0.009706152400361504,32.96963946869078,0.9573488800245474,0.19882179675994108,0.9696690647482015,0.585611510791367,3,1
"22699, 22698, 23170, 23172, 22697",23171,0.01047438330170778,0.026869070208728654,0.0101707779886148,0.9710144927536231,36.13874559895193,1.0,0.009889341048288078,33.57301707779871,0.9826212192851802,0.37430167597765357,0.9702141753395979,0.6747727830999753,5,1
"21731, 82580",DOT,0.010398481973434535,0.051233396584440226,0.010094876660341557,0.9708029197080292,18.948634766153017,1.0,0.009562127109520433,32.49525616698296,0.9571789575180474,0.19587628865979384,0.9692262773722629,0.5839199783725332,2,1
"22919, 22921, 22917, 22918",22916,0.012979127134724858,0.0174573055028463,0.012599620493358634,0.9707602339181286,55.60767861683193,1.0,0.012373039905807461,33.60296015180259,0.994930197566643,0.7063829787234044,0.9702407170236651,0.8462496821764556,4,1
"22916, 22920, 22918",22917,0.014269449715370018,0.017836812144212524,0.013814041745730551,0.9680851063829788,54.274558623811686,1.0,0.01355952025175621,30.77444655281479,0.995784457322919,0.7551867219917014,0.9675055082376929,0.8712765957446809,3,1
