antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,rule_score
"22699, 22698",22697,0.0072540426175003,0.0142058334592715,0.006649539066042,0.9166666666666669,64.52748226950355,1.0,0.0065464893447113,11.82952999848875,0.9916965360716312,0.4489795918367347,0.9154657877254844,0.6923758865248227,2,1,39.33215130023635
22698,22697,0.0116366933655735,0.0142058334592715,0.0086141756082817,0.7402597402597403,52.10956065211384,1.0,0.0084488666803137,3.795307541181805,0.9923574226085088,0.5000000000000001,0.7365167409625482,0.6733213594915723,1,1,33.2288463125711
22697,22699,0.0142058334592715,0.0151125887864591,0.0096720568233338,0.6808510638297872,45.051914893617024,1.0,0.0094573699038949,3.085980555135761,0.9918940671470184,0.4923076923076923,0.6759538881942154,0.6604255319148936,1,1,29.667722951561682
22699,22697,0.0151125887864591,0.0142058334592715,0.0096720568233338,0.64,45.051914893617024,1.0,0.0094573699038949,2.738317129279801,0.992807273285254,0.4923076923076923,0.6348122029740917,0.6604255319148936,1,1,27.887659574467982
22697,22698,0.0142058334592715,0.0116366933655735,0.0086141756082817,0.6063829787234043,52.10956065211385,1.0,0.0084488666803137,2.510977049287462,0.9949436676160736,0.5000000000000001,0.6017486498796278,0.6733213594915723,1,1,27.21937410710612
"22699, 22697",22698,0.0096720568233338,0.0116366933655735,0.006649539066042,0.6875,59.08035714285714,1.0,0.0065369883065744,3.1627625812301647,0.9926751106363498,0.4536082474226804,0.6838207186544343,0.6294642857142857,2,1,27.008928571428513
"22698, 22697",22699,0.0086141756082817,0.0151125887864591,0.006649539066042,0.7719298245614035,51.07859649122807,1.0,0.0065193565723397,4.318352495320909,0.9889412416851442,0.3893805309734514,0.7684302054814802,0.6059649122807018,2,1,26.218528778085513
22698,"22699, 22697",0.0116366933655735,0.0096720568233338,0.006649539066042,0.5714285714285714,59.08035714285714,1.0,0.0065369883065744,2.3107652007455544,0.9946483180428136,0.4536082474226804,0.5672429203636284,0.6294642857142857,1,2,22.44897959183669
22697,"22699, 22698",0.0142058334592715,0.0072540426175003,0.006649539066042,0.4680851063829787,64.52748226950355,1.0,0.0065464893447113,1.8663623998790992,0.9986899502459828,0.4489795918367347,0.4641983785867209,0.6923758865248227,1,2,20.084502791610042
22726,22727,0.0113344415898443,0.013299078132084,0.0069517908417711,0.6133333333333333,46.11848484848484,1.0,0.0068010532174843,2.551812728968748,0.9895325189743862,0.3931623931623932,0.6081217133813244,0.568030303030303,1,1,19.66383838383811
22698,22699,0.0116366933655735,0.0151125887864591,0.0072540426175003,0.6233766233766234,41.24883116883117,1.0,0.0070781820558323,2.615045884946298,0.9872451580020388,0.372093023255814,0.6175975321287581,0.5516883116883117,1,1,18.652723899476943
22727,22726,0.013299078132084,0.0113344415898443,0.0069517908417711,0.5227272727272727,46.11848484848485,1.0,0.0068010532174843,2.0714897414308022,0.9915027935565072,0.3931623931623932,0.5172556349184292,0.568030303030303,1,1,16.758953168043845
22699,"22698, 22697",0.0151125887864591,0.0086141756082817,0.006649539066042,0.44,51.07859649122808,1.0,0.0065193565723397,1.7703318292709258,0.995466402555554,0.3893805309734514,0.4351341463414634,0.6059649122807018,1,2,14.944561403508747
22699,22698,0.0151125887864591,0.0116366933655735,0.0072540426175003,0.48,41.24883116883117,1.0,0.0070781820558323,1.9006986666046664,0.9907293744565496,0.372093023255814,0.4738776758409786,0.5516883116883117,1,1,14.362597402597247
22835,22112,0.0101254344869276,0.0148103370107299,0.0057427837388544,0.5671641791044777,38.29515686871764,1.0,0.005592822641723,2.2761278420786586,0.983848935315388,0.2992125984251968,0.5606573666412531,0.477459640572647,1,1,12.473120234950601
82482,82494L,0.0140547075714069,0.0164727217772404,0.0072540426175003,0.5161290322580645,31.33234684817993,1.0,0.0070225233300161,2.032623041660369,0.981884196811772,0.3116883116883117,0.5080248627000019,0.4782480023675644,1,1,11.730899578993466
82494L,82482,0.0164727217772404,0.0140547075714069,0.0072540426175003,0.4403669724770642,31.33234684817993,1.0,0.0070225233300161,1.76177109630683,0.984298171481254,0.3116883116883117,0.4323893710730738,0.4782480023675644,1,1,10.008932668315525
